jpn	1	坊や（10歳くらいまでの年少者、男）	little boy	Age	坊や		boy	1st	no					
jpn	1	坊や（10歳くらいまでの年少者、男）	little boy	Age	坊や		boy	2nd	yes	坊やも来るかい。			constructed	
jpn	1	坊や（10歳くらいまでの年少者、男）	little boy	Age	坊や		boy	address	yes	坊や、はやく寝なさい。			constructed	
jpn	1	坊や（10歳くらいまでの年少者、男）	little boy	Age	坊や		boy	title	no					
jpn	2	お嬢ちゃん（10歳くらいまでの年少者、女）	little girl	Age	お嬢ちゃん		little girl	1st	no					
jpn	2	お嬢ちゃん（10歳くらいまでの年少者、女）	little girl	Age	お嬢ちゃん		little girl	2nd	yes	お嬢ちゃんは何歳なの。			constructed	
jpn	2	お嬢ちゃん（10歳くらいまでの年少者、女）	little girl	Age	お嬢ちゃん		little girl	address	yes	お嬢ちゃん、いい子にしなさい。			constructed	
jpn	2	お嬢ちゃん（10歳くらいまでの年少者、女）	little girl	Age	お嬢ちゃん		little girl	title	yes	花子お嬢ちゃんは何が食べたい？			constructed	
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	お子さん		child	1st	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子		child	1st	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子ども		child	1st	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	お子さん		child	2nd	no					判断: レストランなどで子どもに注文を聞く際に「お子さんはどちらにしますか？」と聞くだろうか？
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子		child	2nd	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子ども		child	2nd	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	お子さん		child	address	no					判断: 「お子さん、これ落としたよ/落としましたよ」のような言い方はしない気がする
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子		child	address	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子ども		child	address	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	お子さん		child	title	no					
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子		child	title	no					人名の後に付く敬称化は不可。cf. 「お子さん」「お子様」第三者には使えるが、本人には(対称詞としては)使えない気がする
jpn	3	子供（10歳くらいまでの年少者、男女問わず）	child	Age	子ども		child	title	no					
jpn	4	お嬢さん（10代後半から20代前半、女）	miss	Age	お嬢さん		lady	1st	no					
jpn	4	お嬢さん（10代後半から20代前半、女）	miss	Age	お嬢さん		lady	2nd	yes	お嬢さんは何歳ですか。			constructed	
jpn	4	お嬢さん（10代後半から20代前半、女）	miss	Age	お嬢さん		lady	address	yes	お嬢さん!　これ落としたよ。			constructed	
jpn	4	お嬢さん（10代後半から20代前半、女）	miss	Age	お嬢さん		lady	title	yes	花子お嬢さんは何が食べたい？			constructed	
jpn	5	若い男性（10代後半～20代、男）	young man	Age	お兄さん02		young man	1st	yes	お兄さんがやってあげるよ。			constructed	
jpn	5	若い男性（10代後半～20代、男）	young man	Age	お兄さん02		young man	2nd	yes	お兄さんはどちらからいらっしゃったんですか。			constructed	
jpn	5	若い男性（10代後半～20代、男）	young man	Age	お兄さん02		young man	address	yes	お兄さん、これ落としたよ。			constructed	
jpn	5	若い男性（10代後半～20代、男）	young man	Age	お兄さん02		young man	title	yes	太郎お兄さん			constructed	
jpn	6	若い女性（10代後半～20代、女）	young woman	Age	お姉さん02		older sister	1st	yes	お姉さんがやってあげるよ。			constructed	
jpn	6	若い女性（10代後半～20代、女）	young woman	Age	お姉さん02		older sister	2nd	yes	お姉さんは何が食べたい?			constructed	
jpn	6	若い女性（10代後半～20代、女）	young woman	Age	お姉さん02		older sister	address	yes	お姉さん、最近元気ないみたいだけど大丈夫?			constructed	
jpn	6	若い女性（10代後半～20代、女）	young woman	Age	お姉さん02		older sister	title	yes	花子お姉さん			constructed	
jpn	7	若者（10代後半～20代、男女問わず）	youth	Age	若者		youth	1st	no					
jpn	7	若者（10代後半～20代、男女問わず）	youth	Age	若者		youth	2nd	no					
jpn	7	若者（10代後半～20代、男女問わず）	youth	Age	若者		youth	address	no					判断: ×でOK?「おい、{??若者 / 若いの}、そこに座るな」
jpn	7	若者（10代後半～20代、男女問わず）	youth	Age	若者		youth	title	no					人名の後に付く敬称化は不可。敬称化接辞付与による用法有り: 「本日は、たくさんの若者さんにもご参加いただきました。」
jpn	8	父	father	Family	おやじ01		dad	1st	no					
jpn	8	父	father	Family	お父さん01		daddy	1st	yes	お父さん(＝私)が間違ってたんだ。			田窪行則. 1997. 日本語の人称表現. 田窪行則（編）『視点と言語行動』13–41.くろしお出版.	
jpn	8	父	father	Family	パパ01		dad	1st	yes	パパがやってあげるよ。			constructed	
jpn	8	父	father	Family	父		father	1st	no					
jpn	8	父	father	Family	おやじ01		dad	2nd	yes	親父のせいでああなったんだよ。			constructed	
jpn	8	父	father	Family	お父さん01		daddy	2nd	yes	お父さん、お父さんのペンライト、あれ、失くしてしまった			東出朋, 松村 瑞子. 2016. 呼びかけ語の二人称対称人称詞 ―談話における特殊な機能を中心に―. 『言語文化論究』 37. pp.37--50.	2つめの「お父さん」が代名詞代用表現。
jpn	8	父	father	Family	パパ01		dad	2nd	yes	パパのこと大好き!			constructed	
jpn	8	父	father	Family	父		father	2nd	no					
jpn	8	父	father	Family	おやじ01		dad	address	yes	おやじ、めしだ。			仁田義雄(1997)「未展開文をめぐって」川端善明・仁田義雄（編）『日本語文法　体系と方法』, ひつじ書房, pp.9	
jpn	8	父	father	Family	お父さん01		daddy	address	yes	お父さん、おはよ 			李紫娟. 2015. 呼びかけの言語行為についての研究. 博士論文. 岡山大学.	
jpn	8	父	father	Family	お父さん01		daddy	address	yes	お父さん、お父さんのペンライト、あれ、失くしてしまった			東出朋, 松村 瑞子. 2016. 呼びかけ語の二人称対称人称詞 ―談話における特殊な機能を中心に―. 『言語文化論究』 37. pp.37--50.	1つめの「お父さん」が呼びかけ。
